Player name,Score
Josh,793
Luke,345
Kate,598
Mark,273
Mary,71
Josh,457
Luke,440
Kate,17
Mark,439
Mary,859
Josh,93
Luke,637
Kate,849
Mark,395
Mary,665
Josh,328
Luke,481
Kate,140
Mark,236
Mary,423
Josh,28
Luke,35
Kate,52
Mark,450
Mary,265
Josh,372
Luke,795
Kate,767
Mark,919
Mary,717
Josh,343
Luke,371
Kate,711
Mark,182
Mary,335
Josh,654
Luke,95
Kate,329
Mark,497
Mary,669
Josh,769
Luke,491
Kate,441
Mark,194
Mary,846
Josh,84
Luke,512
Kate,150
Mark,161
Mary,383
Josh,365
Luke,521
Kate,58
Mark,772
Mary,244
Josh,714
Luke,541
Kate,59
Mark,772
Mary,304
Josh,174
Luke,917
Kate,34
Mark,894
Mary,51
Josh,317
Luke,114
Kate,367
Mark,140
Mary,522
Josh,13
Luke,417
Kate,518
Mark,30
Mary,579
Josh,358
Luke,255
Kate,832
Mark,892
Mary,383
Josh,127
Luke,720
Kate,537
Mark,702
Mary,520
Josh,163
Luke,831
Kate,650
Mark,854
Mary,174
Josh,498
Luke,382
Kate,739
Mark,127
Mary,767
Josh,348
Luke,702
Kate,968
Mark,708
Mary,49
Josh,688
Luke,271
Kate,869
Mark,817
Mary,686
Josh,364
Luke,603
Kate,651
Mark,878
Mary,367
Josh,661
Luke,265
Kate,380
Mark,815
Mary,992
Josh,881
Luke,640
Kate,389
Mark,878
Mary,695
Josh,160
Luke,970
Kate,420
Mark,788
Mary,104
Josh,196
Luke,527
Kate,80
Mark,564
Mary,728
Josh,339
Luke,999
Kate,8
Mark,903
Mary,562
Josh,365
Luke,162
Kate,339
Mark,856
Mary,929
Josh,322
Luke,278
Kate,998
Mark,236
Mary,233
Josh,46
Luke,141
Kate,139
Mark,142
Mary,291
Josh,462
Luke,886
Kate,590
Mark,590
Mary,955
Josh,899
Luke,656
Kate,589
Mark,283
Mary,596
Josh,352
Luke,551
Kate,728
Mark,862
Mary,2
Josh,94
Luke,906
Kate,163
Mark,874
Mary,91
Josh,732
Luke,337
Kate,460
Mark,114
Mary,876
Josh,125
Luke,740
Kate,194
Mark,465
Mary,529
Josh,389
Luke,640
Kate,57
Mark,581
Mary,404
Josh,145
Luke,230
Kate,769
Mark,899
Mary,801
Josh,272
Luke,468
Kate,124
Mark,793
Mary,262
Josh,207
Luke,235
Kate,220
Mark,728
Mary,489
Josh,710
Luke,645
Kate,422
Mark,657
Mary,10
Josh,224
Luke,614
Kate,64
Mark,249
Mary,823
Josh,304
Luke,118
Kate,828
Mark,934
Mary,471
Josh,59
Luke,490
Kate,668
Mark,412
Mary,469
Josh,699
Luke,474
Kate,932
Mark,623
Mary,339
Josh,755
Luke,946
Kate,634
Mark,568
Mary,274
Josh,975
Luke,578
Kate,858
Mark,946
Mary,546
Josh,799
Luke,184
Kate,593
